Edition,City,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
1896,Athens,Weightlifting,Weightlifting,"VERSIS, Sotirios",GRE,Men,heavyweight - two hand lift,M,Bronze
1896,Athens,Weightlifting,Weightlifting,"JENSEN, Viggo",DEN,Men,heavyweight - two hand lift,M,Gold
1896,Athens,Weightlifting,Weightlifting,"ELLIOTT, Launceston",GBR,Men,heavyweight - two hand lift,M,Silver
1896,Athens,Wrestling,Wrestling Gre-R,"CHRISTOPOULOS, Stephanos",GRE,Men,open event,M,Bronze
1896,Athens,Wrestling,Wrestling Gre-R,"SCHUMANN, Carl",GER,Men,open event,M,Gold
1896,Athens,Wrestling,Wrestling Gre-R,"TSITAS, Georgios",GRE,Men,open event,M,Silver
1900,Paris,Aquatics,Swimming,"HALMAY, Zoltan",HUN,Men,1500m freestyle,M,Bronze
1900,Paris,Aquatics,Swimming,"JARVIS, John Arthur",GBR,Men,1500m freestyle,M,Gold
1900,Paris,Aquatics,Swimming,"WAHLE, Otto",AUT,Men,1500m freestyle,M,Silver
1900,Paris,Aquatics,Swimming,"DROST, Johannes",NED,Men,200m backstroke,M,Bronze
1900,Paris,Aquatics,Swimming,"HOPPENBERG, Ernst",GER,Men,200m backstroke,M,Gold
1900,Paris,Aquatics,Swimming,"RUBERL, Karl",AUT,Men,200m backstroke,M,Silver
1900,Paris,Aquatics,Swimming,"RUBERL, Karl",AUT,Men,200m freestyle,M,Bronze
1900,Paris,Aquatics,Swimming,"LANE, Frederick C.V.",AUS,Men,200m freestyle,M,Gold
1900,Paris,Aquatics,Swimming,"HALMAY, Zoltan",HUN,Men,200m freestyle,M,Silver
1900,Paris,Aquatics,Swimming,"KEMP, Peter",GBR,Men,200m obstacle event,M,Bronze
1900,Paris,Aquatics,Swimming,"LANE, Frederick C.V.",AUS,Men,200m obstacle event,M,Gold
1900,Paris,Aquatics,Swimming,"WAHLE, Otto",AUT,Men,200m obstacle event,M,Silver
1900,Paris,Aquatics,Swimming,HOUBEN,FRA,Men,200m team swimming,M,Bronze
1900,Paris,Aquatics,Swimming,"LEUILLIEUX, Jean",FRA,Men,200m team swimming,M,Bronze
1900,Paris,Aquatics,Swimming,"MARTIN, Louis",FRA,Men,200m team swimming,M,Bronze
1900,Paris,Aquatics,Swimming,"MERCHEZ, Désiré",FRA,Men,200m team swimming,M,Bronze
1900,Paris,Aquatics,Swimming,TARTARA,FRA,Men,200m team swimming,M,Bronze
1900,Paris,Aquatics,Swimming,"FREY, Julius",GER,Men,200m team swimming,M,Gold
1900,Paris,Aquatics,Swimming,"HAINLE, Max",GER,Men,200m team swimming,M,Gold
1900,Paris,Aquatics,Swimming,"HOPPENBERG, Ernst",GER,Men,200m team swimming,M,Gold
1900,Paris,Aquatics,Swimming,"SCHÖNE, Max",GER,Men,200m team swimming,M,Gold
1900,Paris,Aquatics,Swimming,"VON PETERSDORFF, Herbert",GER,Men,200m team swimming,M,Gold
1900,Paris,Aquatics,Swimming,BERTRAND,FRA,Men,200m team swimming,M,Silver
1900,Paris,Aquatics,Swimming,CADET,FRA,Men,200m team swimming,M,Silver
1900,Paris,Aquatics,Swimming,"HOCHEPIED, Maurice",FRA,Men,200m team swimming,M,Silver
1900,Paris,Aquatics,Swimming,"HOCHEPIED, Victor",FRA,Men,200m team swimming,M,Silver
1900,Paris,Aquatics,Swimming,VERBECKE,FRA,Men,200m team swimming,M,Silver
1900,Paris,Aquatics,Swimming,"MARTIN, Louis",FRA,Men,4000m freestyle,M,Bronze
1900,Paris,Aquatics,Swimming,"JARVIS, John Arthur",GBR,Men,4000m freestyle,M,Gold
1900,Paris,Aquatics,Swimming,"HALMAY, Zoltan",HUN,Men,4000m freestyle,M,Silver
1900,Paris,Aquatics,Swimming,"LYKKEBERG, Peder",DEN,Men,underwater swimming,M,Bronze
1900,Paris,Aquatics,Swimming,"DE VENDEVILLE, Charles",FRA,Men,underwater swimming,M,Gold
1900,Paris,Aquatics,Swimming,"SIX, André",FRA,Men,underwater swimming,M,Silver
1900,Paris,Aquatics,Water polo,"BURGESS, Thomas",FRA,Men,water polo,M,Bronze
1900,Paris,Aquatics,Water polo,COULON,FRA,Men,water polo,M,Bronze
1900,Paris,Aquatics,Water polo,"DECUYPER, Alphonse",FRA,Men,water polo,M,Bronze
1900,Paris,Aquatics,Water polo,DEVENOT,FRA,Men,water polo,M,Bronze
1900,Paris,Aquatics,Water polo,FARDELLE,FRA,Men,water polo,M,Bronze
1900,Paris,Aquatics,Water polo,FAVIER,FRA,Men,water polo,M,Bronze
1900,Paris,Aquatics,Water polo,"LAUFRAY, Louis",FRA,Men,water polo,M,Bronze
1900,Paris,Aquatics,Water polo,LERICHE,FRA,Men,water polo,M,Bronze
1900,Paris,Aquatics,Water polo,"MARTIN, Louis",FRA,Men,water polo,M,Bronze
1900,Paris,Aquatics,Water polo,"MERCHEZ, Désiré",FRA,Men,water polo,M,Bronze
1900,Paris,Aquatics,Water polo,"PESLIER, Henri",FRA,Men,water polo,M,Bronze
1900,Paris,Aquatics,Water polo,PESLOY,FRA,Men,water polo,M,Bronze
1900,Paris,Aquatics,Water polo,"TREFFEL, Charles",FRA,Men,water polo,M,Bronze
1900,Paris,Aquatics,Water polo,"VASSEUR, Paul",FRA,Men,water polo,M,Bronze
1900,Paris,Aquatics,Water polo,"COE, Thomas",GBR,Men,water polo,M,Gold
1900,Paris,Aquatics,Water polo,"DERBYSHIRE, John Henry",GBR,Men,water polo,M,Gold
1900,Paris,Aquatics,Water polo,"KEMP, Peter",GBR,Men,water polo,M,Gold
1900,Paris,Aquatics,Water polo,"LISTER, William",GBR,Men,water polo,M,Gold
